query,gpt-3.5-turbo
"Consider this post: ""I feel as if though I'm the only one has it right. I know that people should love each other. Yet people don't. No one treats anyone with respect. Everyone's is generally rude, mean, pessimistic, and hateful. I'm one of the only truly pure one I know in this world. We need to keep the pures and eliminate all the villans. Which is everyone else."" Question: What cause of depression does this post show?",This post shows causes of depression related to alienation. Reasoning: The post indicates that the poster feels a sense of isolation from others and out of place in the world. This feeling points to the poster's lack of necessary social support and social links and is a sign of alienation. It is very likely to produce subsequent emotional problems such as stress and depression.
"Consider this post: ""I grew up in a toxic environment, now that I'm older, all the trauma is coming at me like a freight train and I'm just left to deal with it. Who else's family is the main cause of their depression?"" Question: What cause of depression does this post show?",This post shows causes of depression related to relationship. Reasoning: The report mentions growing up in a toxic environment and family as the main cause of their depression. This suggests that the reporter was under a lot of stress from family relationships.
"Consider this post: ""Lately it feels like a haven't been doing enough with my life I have no job even though I've applied to a lot of places. I rarely leave the house now and I don't feel like I have the energy to leave I feel like a drone doing the same things everyday any advice on how to break this pattern?"" Question: What cause of depression does this post show?","This post shows causes of depression related to jobs and career. Reasoning: The post mentions the dilemma of not having a job despite applying to many places, which points to the fact that the poster is suffering from Jobs and career stress. The post also mentions the lack of energy to go out and the secondary effects of the stress of not having a job can easily lead to a vicious cycle that makes it more difficult for the posters to get out of their emotional dilemmas."
"Consider this post: ""I just left a happy but low paid job which I excelled at for one with better money and better prospects. But I absolutely hate it. I hate the thought of being there. I hate the thought of not being able to do the job. I hate how much more of my time it takes up despite only being contracted for two more hours than I was at my previous job.  
  
I understand that there comes nerves with a new start but I'm starting to wonder if it's all worth the effort if I was so much happier in my previous job, not just doing the work but it didn't invade my life with thoughts when I wasn't there. I have suffered from depression before, though not connected to work, and I can feel that the longer I am at my new job the less I'm enjoying my life. I've been absolutely miserable and unwanting to do anything in the past week. I don't know what to do. Any kind words would be greatly appreciated."" Question: What cause of depression does this post show?","This post shows causes of depression related to jobs and career. Reasoning: The post mentions the recent job change of the poster, who misses the low-paying but competent job in the past, and loathes the new job with higher pay and better prospects. The inability to adapt to the new work environment has caused the poster a great deal of stress. At the same time, the posters also mentioned their own history of depression, although this is not related to work, but the current job has undoubtedly caused the posters emotional problems."
"Consider this post: ""Premise, I have nocturnal enuresis. I'm 17 years old and this condition begins to be the most difficult thing in my life to deal with. Tonight, my parents let me stay at my boyfriend's house as a New Year's gift, so I slept here. I've been finding my bed dry in the morning for a few days, so not wanting to put on a diaper in his house I simply slept in his sleeping bag on the sofa. I fucked up. Though I only slept 2 hours and a half, I managed to wet his sleeping bag, his sofa, and both my pants and my dress. I don't know what to do now, I don't have clean clothes with me, and I know he'll be super mad at me when he wakes up. I hate myself. "" Question: What cause of depression does this post show?","This post shows causes of depression related to relationship. Reasoning: The post mentions that the reporter struggles with nocturnal enuresis. The poster expressed self-blame for wetting her boyfriend's things and anxiety about fear of her boyfriend's anger, indicating that the relationship with her boyfriend was not yet close enough to give the reporter a sense of security, but rather exacerbated their stress and depression."
"Consider this post: ""Let me put it in short...man..very ugly ,short,unproportionate body,weak eyesight,bad in studies and sports,...suicidal,...a lot of mental illnesses...a lot...I am dead serious...suicidal from time to time....awfully socially rejected..I am dumb too...19 and losing hair..very thin hair..herniated disc so can't even try sports...very bad genes...I tried a lot to talk to girls but they hate to even look at me because I am awfully ugly....I am telling you the truth I tried everything from a good diet to exercise...I have been persistent for too long...I am highly suicidal...I am a piece of shit..I mean it...I don't believe in god but if he is there he is sending me straight up messages to kill myself...severe mental problems too...unstable...please someone help me please..you would save a life....."" Question: What cause of depression does this post show?","This post shows causes of depression related to bias or abuse. Reasoning: The poster in the post demonstrates extreme lack of self-confidence; a weak body and a long history of mental illness caused the poster to be discriminated against while growing up, and the ensuing social rejection also isolated the poster and created a feeling of alienation."
"Consider this post: ""Any advice? I start studying soon and am wondering how on earth I'll be able to concentrate. (Though I do know I'm ready for the challenge)
Thanks in advance"" Question: What cause of depression does this post show?",This post shows no causes of depression. Reasoning: The poster is simply actively seeking advice to address attention issues and does not exhibit any degree of emotional problems.
"Consider this post: ""Should have done it in the first place so I wouldn't be misery to other people."" Question: What cause of depression does this post show?","This post shows no causes of depression. Reasoning: There is no mention in the report of any information that would reveal the source of depression or stress; it's just a short, emotional statement."
"Consider this post: ""Been dealing with depression and anxiety for the last few years. Tried to live life normally when I__ outside my room. Friends didn__ even know I had it cause I tried the hardest to not let it affect my everyday life, even though I go through lots of anxiety attacks throughout the day. Yesterday, I just needed one break from work, first time to ever do that and was told I needed to __oughen up_. Felt really bad about it. All these years I__e been dealing with my anxiety and depression without letting it affect my work ever, and now that i just needed a day off, I get that message."" Question: What cause of depression does this post show?","This post shows causes of depression related to jobs and career. Reasoning: The report indicates that the reporter struggled with depression and anxiety for a long time and tried their best not to interfere with their daily life and work, but they were not respected when they were unable to support themselves at work, which made them feel bad. These are indications that the stress of the reporter comes from jobs and career and relationship."
"Consider this post: ""Recently I received some bad news at home _ another health issue one would think would never impact me, even indirectly.  I don__ want to get into those details, but it led me to decide I needed to stop medication because my __uck_ is so bad no matter how good the medication I am still going to endure an incessant stream of negative events and circumstances that will overwhelm me.  My life is a story of waste: Brilliant, but not using that brain power at work; successful, but not enough to reach my goals.  Nothing ever comes easy and I see bad people left and right get their way.  It drives me nuts, and feeds into the __lack and white thinking_ that plagues me.  So I met with my doctor to ask how to get off my medication altogether.  Previously, he expressed shock at the cocktail I was taking and said he would not continue the malpractice of my old doctor, who recently closed her practice.  He did not try to convince me to stay on the medication, or change to something else.  I__ thankful he was honest about the methods to get off the pills.  But, it turns out the safe way to get off my medications will require over a year of weaning off them.  I wanted to stop going to doctors soon, but now I have to go through this process for over a year.  I handled the news well, surprisingly well. Still, it is incredibly difficult to live with my negative thinking, disturbing life events, a constant sense of failure and inadequacy, and potential withdrawals so serious I have to go through a year of tapering off meds.  I just needed to vent.  I feel like I have no one and nothing.  I constantly mutter things under my breath (often without realizing it) such as __ hate my life._  It__ just hard to see how the story of my life turns out well."" Question: What cause of depression does this post show?","This post shows causes of depression related to medication. Reasoning: The paragraphs describe the author's recent experience of receiving bad news regarding a health issue at home. This news led them to decide to stop taking medication and they believe their luck is consistently bad, regardless of the effectiveness of the medication. They express feelings of waste in their life, acknowledging their intelligence and some level of success but feeling that they are not utilizing their potential and struggling to achieve their goals.The post mentions that they wanted to stop seeing their doctor as soon as possible, but had to spend a year working with their doctor to slowly wean themselves off the medication due to severe withdrawal reactions, suggesting that the medication acted as a greater source of stress."
