query,full_answer
"Consider this post: ""my recent stress has come from school. i've been focusing on grades and homework."" Question: What is the stress cause of this post?","This post shows the stress cause related to school. Reasoning: This post shows the stress cause related to school. The post directly mentions 'stress has come from school' and focuses on 'grades and homework,' which are academic responsibilities. This clearly indicates that the primary source of stress is school-related."
"Consider this post: ""i have been stressed about finding a way to work from home."" Question: What is the stress cause of this post?","This post shows the stress cause related to financial problem. Reasoning: This post shows the stress cause related to work. The post mentions being stressed about 'finding a way to work from home,' which implies concerns or challenges related to employment or work arrangements. This falls under the category of Work."
"Consider this post: ""i have been stressed out by my daughter turning in her guidance counselor for bullying"" Question: What is the stress cause of this post?","This post shows the stress cause related to family issues. Reasoning: This post shows the stress cause related to family issues. The post describes stress stemming from the poster's daughter reporting a guidance counselor for bullying. This involves family dynamics and parental concern, which aligns with Family issues. Additionally, the mention of bullying could also relate to Social relationships, but the primary stressor here is the family context."
"Consider this post: ""People talking shit about my friends upsets me."" Question: What is the stress cause of this post?","This post shows the stress cause related to social relationships. Reasoning: This post shows the stress cause related to social relationships. The post expresses upset over 'people talking shit about my friends,' which indicates interpersonal conflict or negative social interactions. This falls under the category of Social relationships."
"Consider this post: ""i am not sure how i feel about my new job.  everyone is nice but i have a lot of doubts"" Question: What is the stress cause of this post?","This post shows the stress cause related to work. Reasoning: This post shows the stress cause related to work. The post describes uncertainty and doubts about a new job, despite coworkers being nice. This reflects stress related to workplace adjustment or job satisfaction, which falls under the category of Work."
"Consider this post: ""My stomach hurts and I have a headache."" Question: What is the stress cause of this post?","This post shows the stress cause related to health issues. Reasoning: The post mentions physical symptoms ('My stomach hurts and I have a headache'), which directly relate to health concerns. However, the label 'Unknown' is assigned because the post does not provide enough context to determine whether the stress is purely due to health issues or if there are underlying causes (e.g., emotional turmoil, work stress, etc.) contributing to these symptoms."
"Consider this post: ""Coronavirus, my financial budget, thinking of my student debts"" Question: What is the stress cause of this post?","This post shows the stress cause related to financial problem. Reasoning: The post lists multiple stressors ('Coronavirus, my financial budget, thinking of my student debts'), which could fall under 'Health issues' (coronavirus), 'Financial problem' (financial budget and student debts), or even 'Work' (if student debts are tied to career prospects). The label 'Unknown' is assigned because the post does not clarify which of these is the primary or most pressing cause of stress, making it difficult to pinpoint a single category."
"Consider this post: ""my car"" Question: What is the stress cause of this post?","This post shows the stress cause related to emotion turmoil. Reasoning: The post is extremely vague ('my car'), providing no context about the nature of the stress. It could relate to financial problems (car repairs), work (commuting issues), or other causes. The label 'Unknown' is assigned due to the lack of actionable information to categorize the stressor."
"Consider this post: ""Also I'm going to the doctor because my knee and back really hurt too."" Question: What is the stress cause of this post?","This post shows the stress cause related to health issues. Reasoning: The post mentions seeking medical attention for physical pain ('my knee and back really hurt'), which suggests 'Health issues' as the primary stressor. However, the label 'Unknown' is assigned because the post does not clarify whether the pain is causing broader emotional or practical stress (e.g., inability to work, emotional distress), leaving room for ambiguity."
"Consider this post: ""he worries about our financial situation if we get married."" Question: What is the stress cause of this post?","This post shows the stress cause related to social relationships. Reasoning: The post focuses on concerns about finances in the context of marriage ('he worries about our financial situation if we get married'), which aligns with 'Financial problem'. However, the label 'Unknown' is assigned because the post does not specify whether the stress is solely financial or if it also involves 'Family issues' or 'Social relationships' (e.g., marital expectations, interpersonal dynamics). The lack of detail makes it difficult to definitively categorize."
"Consider this post: ""It is becoming very difficult to maintain contact, though; as they sign off before I can message them...."" Question: What is the stress cause of this post?","This post shows other stress causes. Reasoning: The post mentions difficulty in maintaining contact with someone, which could imply stress related to social relationships. However, the lack of specific details about the nature of the relationship or the context makes it unclear whether the stress is due to social relationships, emotional turmoil, or another cause. Thus, the label 'Unknown' is appropriate."
"Consider this post: ""Been stressed at work."" Question: What is the stress cause of this post?","This post shows the stress cause related to work. Reasoning: The post explicitly states 'Been stressed at work,' which directly indicates that the stress cause is related to work. However, the response is labeled 'Unknown,' which contradicts the clear mention of work as the stressor. The correct label should be 'Work.'"
"Consider this post: ""I got in an accident."" Question: What is the stress cause of this post?","This post shows the stress cause related to health issues. Reasoning: The post mentions being in an accident, which could lead to stress from health issues (if injuries are involved), financial problems (if there are repair or medical costs), or emotional turmoil (due to the traumatic experience). However, without additional context, the specific cause of stress cannot be determined, so the label 'Unknown' is appropriate."
"Consider this post: ""i had an direct debit on my account for car insurance and didn't have enough money"" Question: What is the stress cause of this post?","This post shows the stress cause related to financial problem. Reasoning: The post refers to a financial issue where the poster did not have enough money to cover a direct debit for car insurance. This clearly indicates stress related to financial problems. However, the response is labeled 'Unknown,' which is incorrect. The correct label should be 'Financial problem.'"
"Consider this post: ""I would tell them that I haven't been feeling very good about things, and I would tell t"" Question: What is the stress cause of this post?","This post shows the stress cause related to work. Reasoning: The post is incomplete and cuts off mid-sentence, making it impossible to determine the cause of stress. Without additional context or clarity, the label 'Unknown' is appropriate."
"Consider this post: ""I'm sick of me being so difficult, I can't choose anything or anyone becasue I'm scared, i'm scared of being happy again."" Question: What is the stress cause of this post?","This post shows the stress cause related to emotion turmoil. Reasoning: This post shows the stress cause related to emotional turmoil. The individual expresses self-directed frustration ('I'm sick of me being so difficult') and fear ('I'm scared of being happy again'), indicating deep emotional distress. The inability to make decisions due to fear and the avoidance of happiness suggest internal conflict and psychological stress, which aligns with Emotional turmoil."
